Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
11/01/2019 à 18:28;12/01/2019 à 01:49;

   Chiffre d'Affaires TTC;1056,00 €   
   Chiffre d'Affaires HT;890,17 €   
   TVA Collecté;165,83 €   
   Total Marge HT;890,10 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;106   
   Nombre de produits vendus;158   
   Ticket moyen TTC;9,96 €   
   Nombre moyen de produits / Ticket;1,5   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;141;153,67 €   ;768,33;922,00 €   
TVA Vente 10%;10 %;17;12,16 €   ;121,84;134,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;399,70 €;0,00 €;399,70 €;51
Carte Bancaire;656,30 €;0,00 €;656,30 €;57
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
Applaudissement;1,000;5,00;4,55
BapBap;2,000;14,00;11,67
Blanche des neige Pinte HH;1,000;5,20;4,33
Blanche neige PINTE;6,000;42,00;35,00
Bol saucisson;4,000;16,00;13,33
Cabotinage DEMI;7,000;24,50;20,42
Cabotinage HH;4,000;16,00;13,33
Cabotinage PINTE;38,000;220,40;183,67
Charcuterie;1,000;13,00;11,82
Cidre DEMI;9,000;40,50;33,75
Cidre HH;6,000;31,20;26,00
Cidre PINTE;20,000;140,00;116,67
Côte du Rhône;6,000;30,00;25,00
Côte du Rhone bouteille;2,000;50,00;41,67
Eau Gazeuse/Plate;2,000;5,00;4,55
Féond;1,000;8,50;7,08
Festival HH;1,000;6,20;5,17
Gascogne;1,000;5,00;4,17
Jus Pomme;1,000;4,00;3,64
Kir;1,000;7,00;5,83
Long Form;1,000;6,50;5,91
Luberon;4,000;26,00;21,67
Madiran;2,000;13,00;10,83
Mini Végan;1,000;7,00;6,36
Mixte;3,000;45,00;40,91
Oliphant;1,000;8,00;6,67
Patinoire;2,000;16,00;13,33
Patinoire HH;1,000;6,20;5,17
Pietra DEMI;2,000;13,00;10,83
Pietra HH;2,000;15,20;12,67
Pietra PINTE;7,000;65,80;54,83
Polo;1,000;20,00;16,67
Scène;1,000;5,50;5,00
Sodas;1,000;4,00;3,64
Thé;2,000;6,00;5,45
Tshirt;1,000;12,00;10,00
Végan;3,000;33,00;30,00
Velouté;1,000;6,50;5,42
Vertigo HH;1,000;6,40;5,33
Vertigo Pinte;7,000;57,40;47,83

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Bières bouteille;4,000;30,50;25,42
Bières pression;96,000;603,60;503,00
Boisson chaudes;3,000;11,00;10,00
Cocktails;5,000;35,00;30,08
happy hour;16,000;86,40;72,00
Planches;13,000;120,50;107,84
Softs;4,000;13,00;11,82
Vins;15,000;124,00;103,33
Z - goodies;2,000;32,00;26,67

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;143,000;903,50;755,64
En-cas;13,000;120,50;107,84
non consommable;2,000;32,00;26,67

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;158,000;134;1056,00;890,15;0,00
