Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
21/01/2019 à 20:25;22/01/2019 à 23:28;

   Chiffre d'Affaires TTC;309,01 €   
   Chiffre d'Affaires HT;260,31 €   
   TVA Collecté;48,70 €   
   Total Marge HT;260,33 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;19   
   Nombre de produits vendus;65   
   Ticket moyen TTC;16,26 €   
   Nombre moyen de produits / Ticket;3,4   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;55;45,35 €   ;226,66;272,01 €   
TVA Vente 10%;10 %;10;3,35 €   ;33,65;37,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Carte Bancaire;248,61 €;0,00 €;248,61 €;12
Espèces;60,40 €;0,00 €;60,40 €;7
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
Applaudissement;1,000;5,00;4,55
Blanche des neige Demi;1,000;4,50;3,75
Bol saucisson;1,000;4,00;3,33
Cabotinage HH;26,000;104,00;86,67
Cabotinage PINTE;5,000;29,00;24,17
Cidre DEMI;3,000;13,50;11,25
Cidre HH;2,000;10,40;8,67
Cidre PINTE;2,000;14,00;11,67
Eau Gazeuse/Plate;3,000;7,50;6,82
Gascogne;3,000;15,00;12,50
Gravel;2,000;10,00;9,09
Jack Daniels;11,000;77,00;64,17
Jus Pomme;2,000;8,00;7,27
Jus pomme HH;1,000;3,00;2,73
Long Form HH;1,000;5,50;5,00
Luberon;1,000;6,50;5,42
Madiran;1,000;6,50;5,42
Martini;1,000;5,00;4,17
Pietra PINTE;3,000;28,20;23,50
Shot double 1;3,000;18,00;15,00
Shots 1;2,000;7,00;5,83
Sodas;11,000;44,00;40,00
Sup. Sirop;1,000;0,50;0,45
Vertigo HH;1,000;6,40;5,33

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;12,000;82,00;68,33
Bières pression;14,000;89,20;74,33
Boisson chaudes;1,000;5,00;4,55
Cocktails;5,000;25,00;20,83
happy hour;31,000;129,30;108,39
Planches;1,000;4,00;3,33
Softs;19,000;70,00;63,64
Vins;5,000;28,00;23,33

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;87,000;428,50;363,41
En-cas;1,000;4,00;3,33

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;88,000;42;432,50;366,74;0,00
