Caisse du Mois
---------------------------------------------------------
Ouverture;Fermeture
02/10/2018 à 18:19;01/11/2018 à 16:20;

   Chiffre d'Affaires TTC;13767,70 €   
   Chiffre d'Affaires HT;11680,39 €   
   TVA Collecté;2087,31 €   
   Total Marge HT;11679,52 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;1396   
   Nombre de produits vendus;2256   
   Ticket moyen TTC;9,86 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CATTC
TVA Vente 20%;20 %;1769;1839,02 €   ;11032,20 €   
TVA Vente 10%;10 %;487;248,29 €   ;2735,50 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;6037,65 €;0,00 €;6037,65 €;752
Carte Bancaire;7730,05 €;0,00 €;7730,05 €;651
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
-25;2,000;40,00;33,33
300 exercices;1,000;21,00;17,50
Applaudissement;1,000;5,00;4,55
BAP BAP Vertigo;22,000;171,50;142,92
BapBap;13,000;91,00;75,83
Blanc VERRE;27,000;81,00;67,50
Bol saucisson;5,000;20,00;16,67
Bombay Sapphir;5,000;32,50;27,08
Bordolino rosé BOUTEILLE 37,5cl;1,000;7,50;6,25
Bordolino rosé VERRE;34,000;102,00;85,00
Bordonlino rosé BOUTEILLE 75cl;2,000;30,00;25,00
Cabaret;2,000;16,00;13,33
Cabotinage DEMI;169,000;591,50;492,92
Cabotinage HH;40,000;160,00;133,33
Cabotinage PINTE;426,000;2470,80;2058,99
Café;20,000;40,00;36,36
Charcuterie;13,000;169,00;153,64
Chateau Rouge;11,000;85,00;70,83
Chimay;2,000;15,00;12,50
Cidre DEMI;104,000;468,00;390,00
Cidre HH;5,000;26,00;21,67
Cidre PINTE;163,000;1141,00;950,83
Cidre Val de Rance 33cl;5,000;25,00;20,83
Cote de provence bouteille;2,000;60,00;50,00
Cote de provence verre;6,000;36,00;30,00
Côte du Rhône;14,000;70,00;58,33
Desperados;20,000;133,00;110,83
Eau Gazeuse/Plate;37,000;92,50;84,09
Echauffement;1,000;3,50;3,18
Féond;8,000;68,00;56,67
Festival;30,000;240,00;212,12
Fromages;11,000;121,00;110,00
Gascogne;16,000;80,00;66,67
Gascogne bouteille;2,000;50,00;41,67
Gravel;25,000;116,00;105,45
Grimbergen;7,000;45,50;37,92
Hymne;5,000;30,00;25,00
Improvi'bar Alcool;9,000;76,50;63,75
improvibar alcool HH;2,000;13,40;11,17
Improvi'bar Soft;2,000;14,00;12,73
Jus Pomme;59,000;236,00;214,55
kazoo métal;1,000;5,00;4,17
Keith;1,000;8,00;6,67
Kir;6,000;42,00;35,00
Kir breton;1,000;7,00;5,83
Lever de Rideau;4,000;30,50;25,42
Long Form;14,000;91,00;82,73
Luberon;5,000;30,50;25,42
Madeleine;15,000;30,00;27,27
Madiran;11,000;71,50;59,58
Manuel d'improvisation theatrale;1,000;21,00;17,50
Martini;2,000;10,00;8,33
Master;2,000;16,50;13,75
Mini Char;5,000;40,00;36,36
Mini From;5,000;35,00;31,82
Mini Végan;5,000;35,00;31,82
Mixte;47,000;705,00;640,91
Mont d'or petit;2,000;26,00;23,64
Oliphant DEMI;25,000;137,50;114,58
Oliphant HH;1,000;6,00;5,00
Oliphant PINTE;76,000;623,20;519,33
Pastis;8,000;48,00;40,00
Patinoire;27,000;207,50;172,92
Petrus;7,000;45,50;37,92
Pietra DEMI;69,000;448,50;373,75
Pietra HH;5,000;38,00;31,67
Pietra PINTE;152,000;1459,60;1216,33
Pineau des charentes;1,000;6,00;5,00
Pinte HH;4,000;16,00;13,33
Porto;3,000;12,00;10,00
Rose delle Venezie Rosé VERRE;2,000;8,00;6,67
Scène;31,000;170,50;155,00
Scene HH;1,000;4,00;3,64
Shots 1;14,000;49,00;40,83
Shots 10;3,000;60,00;50,00
Shots 5;10,000;120,00;100,00
Sifflet;1,000;3,00;2,50
Sodas;82,000;328,00;298,18
Sodas HH;4,000;12,00;10,91
Sphinx;45,000;202,50;168,75
Sphinx HH;22,000;110,00;91,67
Sphinx PINTE;51,000;367,20;306,00
spotlight;1,000;6,00;5,00
SpotLight HH;2,000;12,00;10,00
Sup. Sirop;48,000;24,00;21,82
Telenn Du;6,000;44,00;36,67
Thé;17,000;36,00;32,73
Thème Alcool;9,000;85,50;71,25
Valençay rouge VERRE;28,000;140,00;116,67
Végan;22,000;242,00;220,00
Velouté;8,000;52,00;43,33
vodka;1,000;6,00;5,00
Whisky Akashi;13,000;130,00;108,33
Whisky R.Burns;1,000;10,00;8,33

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;33,000;248,50;207,08
Bières bouteille;101,000;723,50;602,92
Bières pression;1280,000;7909,80;6591,49
Boisson chaudes;44,000;114,50;101,82
Cocktails;165,000;1234,00;1061,33
en cas;15,000;30,00;27,27
happy hour;64,000;309,40;258,14
OFFRES;2,000;40,00;33,33
Planches;123,000;1445,00;1308,18
Softs;251,000;796,50;724,09
Vins;151,000;772,50;643,75
Z - goodies;2,000;8,00;6,67
Z-livres;2,000;42,00;35,00

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;2114,000;12242,70;10303,19
En-cas;138,000;1475,00;1335,46
non consommable;4,000;50,00;41,67

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;2256,000;2256;13767,70;11680,31;0,00
