Caisse du Mois
---------------------------------------------------------
Ouverture;Fermeture
29/08/2018 à 19:57;30/09/2018 à 23:06;

   Chiffre d'Affaires TTC;11531,00 €   
   Chiffre d'Affaires HT;9773,69 €   
   TVA Collecté;1757,31 €   
   Total Marge HT;9773,12 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;1228   
   Nombre de produits vendus;1978   
   Ticket moyen TTC;9,39 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CATTC
TVA Vente 20%;20 %;1577;1560,14 €   ;9358,60 €   
TVA Vente 10%;10 %;401;197,17 €   ;2172,40 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;7730,20 €;0,00 €;7730,20 €;887
Carte Bancaire;3800,80 €;0,00 €;3800,80 €;344
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
BAP BAP Vertigo;2,000;15,00;12,50
BapBap;1,000;7,00;5,83
Blanc VERRE;31,000;129,00;107,50
Blanche neige PINTE;1,000;6,50;5,42
Bombay Sapphir;1,000;6,50;5,42
Bordolino rosé VERRE;7,000;35,00;29,17
Cabaret;5,000;40,00;33,33
Cabotinage DEMI;153,000;535,50;446,26
Cabotinage HH;15,000;60,00;50,00
Cabotinage PINTE;390,000;2262,00;1884,99
Café;12,000;24,00;21,82
Charcuterie;6,000;78,00;70,91
Chateau Rouge;7,000;56,00;46,67
Chimay;8,000;60,00;50,00
Cidre DEMI;54,000;243,00;202,50
Cidre PINTE;65,000;455,00;379,16
Cidre Val de Rance 33cl;21,000;105,00;87,50
Cidre Val de Rance 75cl;5,000;55,00;48,33
Cognac;1,000;11,00;9,17
Cookies;4,000;12,50;11,36
Cote de provence verre;3,000;15,00;12,50
Desperados;13,000;84,00;70,00
Eau Gazeuse/Plate;46,000;115,00;104,54
Felsgold HH;48,000;192,00;160,00
Felsgold PINTE;4,000;22,00;18,33
Féond;15,000;124,20;103,50
Festival;7,000;56,00;50,91
