Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
28/12/2018 à 20:03;29/12/2018 à 01:20;

   Chiffre d'Affaires TTC;529,10 €   
   Chiffre d'Affaires HT;448,47 €   
   TVA Collecté;80,63 €   
   Total Marge HT;448,47 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;56   
   Nombre de produits vendus;89   
   Ticket moyen TTC;9,45 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;70;71,62 €   ;357,98;429,60 €   
TVA Vente 10%;10 %;19;9,01 €   ;90,49;99,50 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Carte Bancaire;304,90 €;0,00 €;304,90 €;30
Espèces;224,20 €;0,00 €;224,20 €;26
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
BapBap;1,000;7,00;5,83
Blanche des neige Demi;4,000;18,00;15,00
Blanche neige PINTE;3,000;21,00;17,50
Cabotinage DEMI;7,000;24,50;20,42
Cabotinage PINTE;14,000;81,20;67,67
Chateau Rouge;1,000;7,00;5,83
Cidre DEMI;8,000;36,00;30,00
Cidre PINTE;2,000;14,00;11,67
Cidre Val de Rance 33cl;2,000;10,00;8,33
Cote de provence verre;1,000;6,00;5,00
Côte du Rhône;3,000;15,00;12,50
Eau Gazeuse/Plate;1,000;2,50;2,27
Festival;1,000;8,00;6,67
Gascogne;1,000;5,00;4,17
Jus Pomme;2,000;8,00;7,27
Lever de Rideau;1,000;8,00;6,67
Mini Végan;1,000;7,00;6,36
Mixte;2,000;30,00;27,27
Pietra DEMI;5,000;32,50;27,08
Pietra PINTE;6,000;56,40;47,00
Rhum Krakren;1,000;10,00;8,33
Scène;1,000;5,50;5,00
Shots 1;1,000;3,50;2,92
Sodas;5,000;20,00;18,18
Sup. Sirop;1,000;0,50;0,45
Thé;5,000;15,00;13,64
Végan;1,000;11,00;10,00
Vertigo demi;1,000;5,50;4,58
Vertigo Pinte;5,000;41,00;34,17
Whisky R.Burns;2,000;20,00;16,67

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;3,000;30,00;25,00
Bières bouteille;4,000;24,00;20,00
Bières pression;55,000;330,10;275,08
Boisson chaudes;5,000;15,00;13,64
Cocktails;4,000;25,00;21,25
Planches;4,000;48,00;43,64
Softs;9,000;31,00;28,18
Vins;5,000;26,00;21,67

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;85,000;481,10;404,82
En-cas;4,000;48,00;43,64

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;89,000;73;529,10;448,45;0,00
