Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
12/10/2018 à 18:18;13/10/2018 à 00:18;

   Chiffre d'Affaires TTC;294,60 €   
   Chiffre d'Affaires HT;255,29 €   
   TVA Collecté;39,31 €   
   Total Marge HT;255,29 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;28   
   Nombre de produits vendus;54   
   Ticket moyen TTC;10,52 €   
   Nombre moyen de produits / Ticket;1,9   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;28;27,61 €   ;137,99;165,60 €   
TVA Vente 10%;10 %;26;11,70 €   ;117,30;129,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Carte Bancaire;143,40 €;0,00 €;143,40 €;8
Espèces;151,20 €;0,00 €;151,20 €;20
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
BAP BAP Vertigo;1,000;7,50;6,25
Bordolino rosé VERRE;5,000;15,00;12,50
Chateau Rouge;2,000;16,00;13,33
Cidre DEMI;2,000;9,00;7,50
Cidre PINTE;6,000;42,00;35,00
Eau Gazeuse/Plate;2,000;5,00;4,55
Féond;1,000;8,50;7,08
Gravel;3,000;13,50;12,27
Jus Pomme;5,000;20,00;18,18
Long Form;1,000;6,50;5,91
Madeleine;3,000;6,00;5,45
Mixte;3,000;45,00;40,91
Oliphant DEMI;1,000;5,50;4,58
Oliphant PINTE;2,000;16,40;13,67
Patinoire;1,000;7,50;6,25
Pietra DEMI;1,000;6,50;5,42
Scène;3,000;16,50;15,00
Sodas;3,000;12,00;10,91
Sphinx;3,000;13,50;11,25
Sphinx PINTE;1,000;7,20;6,00
spotlight;1,000;6,00;5,00
Sup. Sirop;1,000;0,50;0,45
Thé;2,000;4,00;3,64
Valençay rouge VERRE;1,000;5,00;4,17

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Bières bouteille;4,000;32,00;26,67
Bières pression;16,000;100,10;83,42
Boisson chaudes;2,000;4,00;3,64
Cocktails;5,000;30,50;27,16
en cas;3,000;6,00;5,45
happy hour;1,000;6,00;5,00
Planches;3,000;45,00;40,91
Softs;14,000;51,00;46,36
Vins;6,000;20,00;16,67

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;48,000;243,60;208,91
En-cas;6,000;51,00;46,36

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;54,000;54;294,60;255,27;0,00
