Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
31/10/2018 à 18:12;01/11/2018 à 01:34;

   Chiffre d'Affaires TTC;1659,20 €   
   Chiffre d'Affaires HT;1392,13 €   
   TVA Collecté;267,07 €   
   Total Marge HT;1391,79 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;168   
   Nombre de produits vendus;263   
   Ticket moyen TTC;9,88 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;237;255,63 €   ;1277,57;1533,20 €   
TVA Vente 10%;10 %;26;11,44 €   ;114,56;126,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Carte Bancaire;1212,80 €;0,00 €;1212,80 €;110
Espèces;446,40 €;0,00 €;446,40 €;59
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
BAP BAP Vertigo;3,000;24,00;20,00
BapBap;3,000;21,00;17,50
Bol saucisson;1,000;4,00;3,33
Bordolino rosé VERRE;1,000;3,00;2,50
Cabotinage DEMI;16,000;56,00;46,67
Cabotinage HH;22,000;88,00;73,33
Cabotinage PINTE;92,000;533,60;444,66
Café;2,000;4,00;3,64
Chimay;1,000;7,50;6,25
Cidre DEMI;5,000;22,50;18,75
Cidre HH;2,000;10,40;8,67
Cidre PINTE;9,000;63,00;52,50
Cote de provence bouteille;1,000;30,00;25,00
Côte du Rhône;2,000;10,00;8,33
Eau Gazeuse/Plate;1,000;2,50;2,27
Festival;8,000;64,00;53,33
Gascogne;4,000;20,00;16,67
Gascogne bouteille;1,000;25,00;20,83
Gravel;1,000;5,00;4,55
Hymne;2,000;12,00;10,00
Improvi'bar Alcool;7,000;59,50;49,58
improvibar alcool HH;2,000;13,40;11,17
Improvi'bar Soft;1,000;7,00;6,36
Long Form;1,000;6,50;5,91
Madeleine;1,000;2,00;1,82
Mixte;4,000;60,00;54,55
Mont d'or petit;1,000;13,00;11,82
Oliphant DEMI;1,000;5,50;4,58
Oliphant PINTE;2,000;16,40;13,67
Pastis;4,000;24,00;20,00
Patinoire;3,000;24,00;20,00
Pietra DEMI;6,000;39,00;32,50
Pietra HH;1,000;7,60;6,33
Pietra PINTE;27,000;253,80;211,50
Scène;1,000;5,50;5,00
Shots 1;4,000;14,00;11,67
Shots 5;6,000;72,00;60,00
Sodas;4,000;16,00;14,55
Sup. Sirop;9,000;4,50;4,09
Whisky Akashi;1,000;10,00;8,33

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;5,000;34,00;28,33
Bières bouteille;7,000;52,50;43,75
Bières pression;158,000;989,80;824,83
Boisson chaudes;4,000;16,00;13,64
Cocktails;31,000;252,50;211,86
en cas;1,000;2,00;1,82
happy hour;27,000;119,40;99,50
Planches;6,000;77,00;69,70
Softs;15,000;28,00;25,45
Vins;9,000;88,00;73,33

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;256,000;1580,20;1320,69
En-cas;7,000;79,00;71,52

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;263,000;263;1659,20;1392,21;0,00
