Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
19/09/2018 à 19:26;20/09/2018 à 00:21;

   Chiffre d'Affaires TTC;575,50 €   
   Chiffre d'Affaires HT;494,24 €   
   TVA Collecté;81,26 €   
   Total Marge HT;494,21 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;72   
   Nombre de produits vendus;102   
   Ticket moyen TTC;7,99 €   
   Nombre moyen de produits / Ticket;1,4   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;65;63,70 €   ;318,30;382,00 €   
TVA Vente 10%;10 %;37;17,56 €   ;175,94;193,50 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;325,90 €;0,00 €;325,90 €;48
Carte Bancaire;249,60 €;0,00 €;249,60 €;24
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
Blanc VERRE;5,000;15,00;12,50
Cabotinage DEMI;6,000;21,00;17,50
Cabotinage PINTE;17,000;98,60;82,17
Cidre DEMI;7,000;31,50;26,25
Cidre PINTE;2,000;14,00;11,67
Desperados;1,000;6,50;5,42
Eau Gazeuse/Plate;5,000;12,50;11,36
Fromages;2,000;22,00;20,00
Gin tonic;1,000;10,50;8,75
Improvi'bar Alcool;2,000;17,00;14,17
Improvi'bar Soft;4,000;28,00;25,45
Jus Pomme;12,000;48,00;43,64
Long Form;1,000;6,50;5,91
Mixte;3,000;45,00;40,91
Oliphant PINTE;8,000;65,60;54,67
Patinoire;3,000;22,50;18,75
Pietra DEMI;2,000;13,00;10,83
Pietra HH;1,000;8,00;6,67
Pinot Blanc 37,5;1,000;7,50;6,25
Scène;2,000;11,00;10,00
Sodas;4,000;16,00;14,55
Sodas HH;1,000;3,00;2,73
Sphinx;5,000;22,50;18,75
Sphinx PINTE;4,000;28,80;24,00
Sup. Sirop;3,000;1,50;1,36

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Bières bouteille;1,000;6,50;5,42
Bières pression;51,000;295,00;245,83
Cocktails;13,000;95,50;83,03
Planches;5,000;67,00;60,91
Softs;24,000;78,00;70,91
Vins;6,000;22,50;18,75

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;97,000;508,50;433,33
En-cas;5,000;67,00;60,91

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;102,000;102;575,50;494,24;0,00
