Caisse du Jour
---------------------------------------------------------
Ouverture;Fermeture
28/09/2018 à 19:47;29/09/2018 à 01:24;

   Chiffre d'Affaires TTC;578,30 €   
   Chiffre d'Affaires HT;488,10 €   
   TVA Collecté;90,20 €   
   Total Marge HT;488,13 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;53   
   Nombre de produits vendus;102   
   Ticket moyen TTC;10,91 €   
   Nombre moyen de produits / Ticket;1,9   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;0,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CA HT;CATTC
TVA Vente 20%;20 %;94;82,76 €   ;413,54;496,30 €   
TVA Vente 10%;10 %;8;7,44 €   ;74,56;82,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;292,00 €;0,00 €;292,00 €;29
Carte Bancaire;286,30 €;0,00 €;286,30 €;24
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
BAP BAP Vertigo;1,000;7,50;6,25
Blanc VERRE;1,000;3,00;2,50
Cabaret;1,000;8,00;6,67
Cabotinage DEMI;13,000;45,50;37,92
Cabotinage PINTE;39,000;226,20;188,50
Cidre DEMI;3,000;13,50;11,25
Cidre PINTE;1,000;7,00;5,83
Fromages;2,000;22,00;20,00
Grimbergen;1,000;6,50;5,42
Jus Pomme;1,000;4,00;3,64
Lever de Rideau;3,000;22,50;18,75
Master;1,000;8,50;7,08
Mixte;3,000;45,00;40,91
Oliphant PINTE;1,000;8,20;6,83
Petrus;1,000;6,50;5,42
Pinot Blanc;1,000;6,00;5,00
Scène;2,000;11,00;10,00
Shots 1;5,000;17,50;14,58
Sphinx;1,000;4,50;3,75
Sphinx PINTE;2,000;14,40;12,00
Valençay rouge VERRE;10,000;50,00;41,67
Valpolicella Rouge VERRE;8,000;28,00;23,33
Whisky Amrut;1,000;13,00;10,83

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;1,000;13,00;10,83
Bières bouteille;3,000;20,50;17,08
Bières pression;60,000;319,30;266,08
Cocktails;12,000;67,50;57,08
Planches;5,000;67,00;60,91
Softs;1,000;4,00;3,64
Vins;20,000;87,00;72,50

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;97,000;511,30;427,22
En-cas;5,000;67,00;60,91

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;102,000;102;578,30;488,13;0,00
